Store,Dept,Date,Weekly_Sales_Pred
1,1,2011-11-02,27312.928
1,1,2011-11-03,20859.924
1,1,2011-12-08,21646.33
1,1,2011-11-11,33515.477
1,1,2011-11-18,21699.355
1,1,2011-11-25,31745.158
1,1,2011-12-16,22549.953
1,1,2011-12-23,22386.498
1,1,2011-12-30,28221.486
1,1,2012-06-01,23603.914
1,1,2012-01-13,29872.047
1,1,2012-01-20,26389.736
1,1,2012-01-27,28008.553
1,1,2012-03-02,29797.916
1,1,2012-10-02,31006.973
1,1,2012-02-17,23337.938
1,1,2012-02-24,23318.154
1,1,2012-02-03,63087.418
1,1,2012-09-03,25272.668
1,1,2012-03-16,19406.52
1,1,2012-03-23,19278.72
1,1,2012-03-30,22837.775
1,1,2012-06-04,17734.557
1,1,2012-04-13,17239.977
1,1,2012-04-20,23728.049
1,1,2012-04-27,26553.898
1,1,2012-04-05,21677.656
1,1,2012-05-18,18311.523
1,1,2012-05-25,16428.195
1,1,2012-01-06,13296.53
1,1,2012-08-06,16625.797
1,1,2012-06-15,16111.874
1,1,2012-06-22,17460.371
1,1,2012-06-29,15049.143
1,1,2012-06-07,19119.441
1,1,2012-07-13,17651.65
1,1,2012-07-20,15820.148
1,1,2012-07-27,18488.473
1,1,2012-03-08,22794.643
1,1,2012-10-08,25773.08
1,1,2012-08-17,20044.229
1,1,2012-08-24,22378.525
1,1,2012-08-31,26708.229
1,1,2012-07-09,15048.237
1,1,2012-09-14,29117.418
1,1,2012-09-21,28619.8
1,1,2012-09-28,25419.83
1,1,2012-05-10,18813.635
1,1,2012-10-19,28896.236
1,1,2012-10-26,29289.78
1,2,2011-11-02,43242.156
1,2,2011-11-03,42576.844
1,2,2011-12-08,45336.72
1,2,2011-11-11,67167.195
1,2,2011-11-18,42933.36
1,2,2011-11-25,51526.453
1,2,2011-12-16,39589.414
1,2,2011-12-23,41703.277
1,2,2011-12-30,47473.035
1,2,2012-06-01,44836.34
1,2,2012-01-13,38822.633
1,2,2012-01-20,38750.88
1,2,2012-01-27,40431.484
1,2,2012-03-02,52142.53
1,2,2012-10-02,44922.395
1,2,2012-02-17,44953.63
